Name,Quantity,Unit,Department
Turkey Lunch Meat,.14,lb,Meat
Bread,8,,Other
Pickles,6,,Other
Mayonase,2,oz,Other
Sliced Cheddar,2,slices,Dairy
Apples,2,,Produce
