Name,Quantity,Unit,Department
Ground Beef,1,lb,Meat
Onion,1,,Produce
Tomato,1,,Produce
Lettuce,1,,Produce
Taco Seasoning,2,tbsp,Other
Taco Shells,8,,Other
Tortillas,8,,Other
Shreded Cheddar Cheese,8,oz,Dairy
Salsa,8,oz,Other
Taco Bell Hot Sauce,.5,,Other
Sour Cream,16,oz,Dairy
Refried Beans,32,oz,Other
Tostitos,1,,Other
