Name,Quantity,Unit,Department
Ground Beef,1,lb,Meat
Hamburger Buns,8,,Other
Mustard,.1,oz,Other
Catchup,.1,oz,Other
Mayonnaise,1,oz,Other
Tomato,1,,Produce
Lettuce,1,,Produce
Onion,.5,,Produce
