Name,Quantity,Unit,Department
Hotdogs,8,,Meat
Hotdog Buns,8,,Other
Mustard,.1,oz,Other
Catchup,.1,oz,Other
Amy's Chili,1,,Organic
Onion,.5,,Produce
Shreded Cheddar Cheese,8,oz,Dairy
