Name,Quantity,Unit,Department
Chicken Breast,1,lb,Meat
Onion,1,,Produce
Red Pepper,1,,Produce
Sliced Mushrooms,8,oz,Produce
Broccoli,1,,Produce
Peanut Sauce,8,oz,Other
Jasmine Rice,1,cup,Other
