Name,Quantity,Unit,Department
Chicken Nuggets,1,,Frozen
Tater Tots,1,,Frozen
Catchup,.1,oz,Other
Mustard,.1,oz,Other
Honey,.1,oz,Other
Frozen Corn,1,,Frozen
