Name,Quantity,Unit,Department
Ground Turkey,1,lb,Meat
Onion,1,,Produce
Tomato Sauce,1,,Other
Tomato Paste,1,,Other
Rotel Original,2,tbsp,Other
Garbanzo Beans,8,,Other
Black Beans,8,,Other
Chili Powder,8,oz,Other
Bay Leaf,1,,Other
Tortillas,4,,Other
Sour Cream,16,oz,Dairy
Tostitos,1,,Other
